    Model              Gr.Code Group                QSglob   QSbest   Mol.Size Stoich.  Symm.     SymmSize SymmRMSD No.Conts No.Clash F1       Prec.Iface Recal.Iface lDDToligo  DockQ_Avg  Jaccard.Coeff. Align.Size Align.Len  Orient   LocalRMSD  Iface.RMSD SA.total   SA.polar  SA.apolar  TMscore    SymmGr.RMSD
1   T1132TS180_1o      180     McGuffin             0.954    0.972    6        A6       D3        6        0.05     321      0        87.5     92.30      83.44       0.928      0.911      0.86           6          582        0.02     0.45       0.30       2165.2     1793.2     1521.9     0.997     d3:0.04; c6:26.92; c3:0.04; c3:26.31; c2:0.04; c2:0.04; c2:0.02
174 T1132TS314_1o      314     Pierce               0.816    0.830    6        A6       D3        6        0.06     288      0        69.0     71.50      67.38       0.784      0.633      0.71           6          582        0.08     1.97       0.63       3886.3     2391.2     2645.0     0.949     d3:0.05; c6:27.17; c3:0.05; c3:26.62; c2:0.04; c2:0.03; c2:0.05
175 T1132TS205_1o      205     Zou                  0.816    0.829    6        A6       D3        6        0.17     324      0        74.4     73.31      75.92       0.743      0.670      0.76           6          582        0.09     2.11       0.77       1863.8     1550.7     1463.0     0.943     d3:0.15; c6:26.92; c3:0.15; c3:26.32; c2:0.09; c2:0.12; c2:0.12
176 T1132TS493_5o      493     Shen-CAPRI           0.761    0.776    6        A6       D3        6        2.74     214      0        50.5     69.26      42.50       0.760      0.591      0.63           6          582        0.11     3.71       0.82       5735.2     2792.5     3740.4     0.852     d3:2.49; c6:29.22; c3:2.10; c3:26.24; c2:1.83; c2:2.22; c2:1.90
177 T1132TS188_5o      188s    GuijunLab-DeepDA     0.744    0.756    6        A6       D3        6        0.11     290      0        63.4     64.80      62.85       0.760      0.525      0.69           6          582        0.18     3.05       0.70       4049.8     2444.1     2755.7     0.888     d3:0.10; c6:26.52; c3:0.09; c3:26.21; c2:0.07; c2:0.06; c2:0.09
178 T1132TS278_4o      278     PEZYFoldings         0.742    0.756    6        A6       D3        6        1.64     236      0        66.9     83.07      64.45       0.826      0.487      0.67           6          582        0.23     4.27       0.37       6057.4     4460.2     2747.1     0.809     d3:1.45; c6:29.23; c3:1.45; c3:27.53; c2:0.90; c2:1.37; c2:0.71
179 T1132TS037_5o      037     Wallner              0.702    0.712    6        A6       D3        6        3.24     566      5        70.4     62.92      84.77       0.777      0.645      0.71           6          582        0.11     3.41       0.68       -3489.4    -744.0     -1595.4    0.876     d3:3.00; c6:25.22; c3:2.97; c3:24.37; c2:2.14; c2:2.66; c2:1.45
180 T1132TS037_3o      037     Wallner              0.611    0.621    6        A6       D3        6        1.45     832      8        58.7     45.81      88.78       0.583      0.599      0.64           6          582        0.05     4.18       1.14       -9373.8    -3716.8    -4507.1    0.811     d3:1.38; c6:23.81; c3:1.36; c3:21.47; c2:0.43; c2:1.20; c2:1.14
181 T1132TS278_3o      278     PEZYFoldings         0.608    0.620    6        A6       D3        6        3.53     215      0        53.0     52.77      54.29       0.701      0.332      0.52           2          194        0.02     1.77       0.79       7080.8     5142.6     3088.1     0.561     d3:3.27; c6:32.74; c3:3.23; c3:28.51; c2:2.59; c2:1.29; c2:2.83
182 T1132TS165_5o      165     FTBiot0119           0.595    0.602    6        A6       D3        6        4.80     543      15       65.7     57.94      76.21       0.718      0.544      0.71           6          582        0.09     4.23       1.05       -1017.7    237.0      -104.8     0.833     d3:4.44; c6:25.14; c3:1.47; c3:23.92; c2:4.26; c2:4.37; c2:4.30
183 T1132TS278_5o      278     PEZYFoldings         0.592    0.603    6        A6       D3        6        2.67     209      0        51.8     49.83      54.02       0.708      0.343      0.52           2          194        0.01     1.56       0.79       6552.1     4950.6     2751.4     0.593     d3:2.40; c6:28.21; c3:2.40; c3:27.59; c2:0.82; c2:1.63; c2:2.32
184 T1132TS091_5o      091     UNRES                0.583    0.588    6        A6       C1        6        0.00     358      0        57.4     61.92      54.01       0.733      0.419      0.71           5          485        0.46     4.61       0.73       2006.2     2083.3     1072.7     0.742     d3:4.84; c6:27.67; c3:4.83; c3:23.93; c2:2.34; c2:2.65; c2:4.77
185 T1132TS165_1o      165     FTBiot0119           0.578    0.584    6        A6       D3        6        5.13     539      14       60.1     52.99      70.33       0.697      0.489      0.72           5          485        0.19     4.21       1.05       -1467.5    18.3       -336.0     0.810     d3:4.35; c6:25.25; c3:3.80; c3:23.54; c2:2.90; c2:4.13; c2:3.07
186 T1132TS091_1o      091     UNRES                0.559    0.564    6        A6       C1        6        0.00     362      0        55.6     59.09      53.22       0.726      0.402      0.69           4          388        0.28     5.12       0.68       1880.9     2013.0     1017.8     0.711     d3:5.54; c6:26.03; c3:5.53; c3:24.81; c2:2.11; c2:5.28; c2:3.74
187 T1132TS091_2o      091     UNRES                0.532    0.537    6        A6       C2        6        3.78     384      0        57.1     59.52      55.35       0.726      0.410      0.68           2          194        0.02     0.89       0.66       1973.1     1834.5     1288.5     0.701     d3:6.07; c6:25.65; c3:5.92; c3:24.72; c2:2.51; c2:4.78; c2:5.35
188 T1132TS119_5o      119     Kiharalab            0.527    0.534    6        A6       D3        6        0.30     378      0        63.4     71.67      60.41       0.726      0.384      0.65           2          194        0.01     1.78       0.36       1884.6     2213.5     820.9      0.575     d3:0.28; c6:29.99; c3:0.27; c3:26.83; c2:0.25; c2:0.16; c2:0.18
189 T1132TS131_5o      131s    Kiharalab_Server     0.527    0.534    6        A6       D3        6        0.30     378      0        63.4     71.67      60.41       0.726      0.384      0.65           2          194        0.01     1.78       0.36       1884.6     2213.5     820.9      0.575     d3:0.28; c6:29.99; c3:0.27; c3:26.83; c2:0.25; c2:0.16; c2:0.18
190 T1132TS091_4o      091     UNRES                0.523    0.528    6        A6       C2        6        4.17     379      1        56.0     59.68      53.73       0.724      0.400      0.67           3          291        0.09     3.60       0.67       2264.7     2352.4     1062.2     0.675     d3:6.55; c6:25.71; c3:6.32; c3:24.68; c2:5.77; c2:2.71; c2:5.28
191 T1132TS091_3o      091     UNRES                0.522    0.528    6        A6       C2        6        5.72     396      0        55.3     58.06      53.74       0.707      0.396      0.67           4          388        0.15     4.14       0.69       1352.7     1442.2     1060.4     0.669     d3:7.31; c6:25.86; c3:6.91; c3:24.78; c2:6.18; c2:3.80; c2:6.00
192 T1132TS398_1o      398     ChaePred             0.519    0.524    6        A6       C1        6        0.00     490      16       55.5     50.97      63.11       0.682      0.350      0.64           2          194        0.05     1.27       1.05       623.2      1235.4     537.6      0.636     d3:22.19; c6:29.87; c3:21.90; c3:24.17; c2:15.07; c2:10.19; c2:18.31
193 T1132TS037_4o      037     Wallner              0.519    0.526    6        A6       C2        6        1.47     537      6        62.3     62.44      66.59       0.760      0.483      0.66           2          194        0.01     1.05       0.61       -2729.5    -526.1     -1053.5    0.757     d3:6.82; c6:25.32; c3:6.82; c3:24.16; c2:1.03; c2:5.83; c2:5.90
194 T1132TS398_3o      398     ChaePred             0.515    0.521    6        A6       C1        6        0.00     475      13       53.6     47.91      61.24       0.690      0.345      0.63           2          194        0.05     1.27       1.05       325.4      1045.6     429.7      0.642     d3:14.53; c6:30.03; c3:12.88; c3:24.22; c2:12.02; c2:10.94; c2:10.82
195 T1132TS398_5o      398     ChaePred             0.514    0.519    6        A6       C1        6        0.00     523      17       55.7     53.99      62.57       0.693      0.402      0.65           2          194        0.05     1.27       1.05       -441.4     629.3      79.2       0.770     d3:6.57; c6:26.23; c3:5.56; c3:24.22; c2:5.20; c2:5.16; c2:5.37
196 T1132TS398_2o      398     ChaePred             0.506    0.514    6        A6       C1        6        0.00     493      15       53.4     47.74      60.97       0.693      0.349      0.63           2          194        0.05     1.27       1.05       122.5      906.2      366.2      0.655     d3:12.29; c6:29.32; c3:10.77; c3:24.01; c2:10.28; c2:9.82; c2:8.68
197 T1132TS278_2o      278     PEZYFoldings         0.496    0.501    6        A6       D3        6        0.05     363      0        49.6     46.93      52.66       0.675      0.316      0.57           2          194        0.01     1.97       0.62       2076.6     1234.6     1991.9     0.532     d3:0.04; c6:29.99; c3:0.04; c3:26.84; c2:0.03; c2:0.03; c2:0.03
198 T1132TS493_2o      493     Shen-CAPRI           0.492    0.502    6        A6       C3        6        5.19     273      0        57.1     57.43      56.69       0.776      0.309      0.61           2          194        0.03     0.69       0.53       3595.6     1808.7     2624.4     0.359     d3:17.76; c6:32.18; c3:4.20; c3:25.71; c2:17.52; c2:17.51; c2:17.48; c2:25.57
199 T1132TS423_4o      423     trComplex            0.491    0.499    6        A6       C2        6        4.88     370      0        50.6     47.57      54.01       0.745      0.338      0.57           2          194        0.03     1.04       0.76       1196.9     1682.9     663.9      0.590     d3:11.34; c6:27.82; c3:11.33; c3:24.57; c2:3.37; c2:10.93; c2:7.82
200 T1132TS187_4o      187     TRFold               0.491    0.499    6        A6       C2        6        4.88     370      0        50.6     47.57      54.01       0.745      0.338      0.57           2          194        0.03     1.04       0.76       1196.9     1682.9     663.9      0.590     d3:11.34; c6:27.82; c3:11.33; c3:24.57; c2:3.37; c2:10.93; c2:7.82
201 T1132TS131_4o      131s    Kiharalab_Server     0.486    0.493    6        A6       D3        6        0.11     294      0        51.2     48.81      53.74       0.711      0.314      0.53           2          194        0.01     1.46       0.62       2429.7     2866.7     712.9      0.510     d3:0.10; c6:30.80; c3:0.09; c3:27.26; c2:0.07; c2:0.09; c2:0.06
202 T1132TS131_1o      131s    Kiharalab_Server     0.480    0.485    6        A6       D3        6        0.03     367      0        49.4     47.42      51.62       0.662      0.302      0.54           2          194        0.01     2.09       0.77       2058.2     2299.2     908.9      0.514     d3:0.03; c6:30.22; c3:0.03; c3:26.84; c2:0.02; c2:0.02; c2:0.03
203 T1132TS119_1o      119     Kiharalab            0.480    0.485    6        A6       D3        6        0.03     367      0        49.4     47.42      51.62       0.662      0.302      0.54           2          194        0.01     2.09       0.77       2058.2     2299.2     908.9      0.514     d3:0.03; c6:30.22; c3:0.03; c3:26.84; c2:0.02; c2:0.02; c2:0.03
204 T1132TS131_3o      131s    Kiharalab_Server     0.478    0.485    6        A6       D3        6        0.07     299      0        50.6     48.59      52.66       0.704      0.310      0.51           2          194        0.01     1.52       0.62       2974.3     3263.7     860.5      0.505     d3:0.06; c6:30.93; c3:0.06; c3:27.41; c2:0.05; c2:0.04; c2:0.05
205 T1132TS398_4o      398     ChaePred             0.477    0.500    6        A6       C2        6        1.81     515      15       53.0     47.39      60.70       0.684      0.337      0.63           2          194        0.05     1.27       1.05       269.6      1047.2     372.3      0.548     d3:13.62; c6:28.27; c3:13.61; c3:26.07; c2:11.49; c2:1.25; c2:11.94
206 T1132TS037_2o      037     Wallner              0.450    0.458    6        A6       D3        6        0.14     343      0        55.5     53.81      57.20       0.773      0.320      0.56           2          194        0.02     1.17       0.65       1204.5     2136.2     218.2      0.499     d3:0.13; c6:30.51; c3:0.12; c3:27.22; c2:0.10; c2:0.10; c2:0.10
207 T1132TS131_2o      131s    Kiharalab_Server     0.447    0.452    6        A6       D3        6        0.04     351      0        51.2     50.10      52.41       0.672      0.300      0.54           2          194        0.02     2.08       0.87       1213.5     2447.2     -83.7      0.505     d3:0.04; c6:30.28; c3:0.03; c3:26.91; c2:0.02; c2:0.03; c2:0.03
208 T1132TS119_3o      119     Kiharalab            0.447    0.452    6        A6       D3        6        0.04     351      0        51.2     50.10      52.41       0.672      0.300      0.54           2          194        0.02     2.08       0.87       1213.5     2447.2     -83.7      0.505     d3:0.04; c6:30.28; c3:0.03; c3:26.91; c2:0.02; c2:0.03; c2:0.03
209 T1132TS444_4o      444     CoDock               0.407    0.408    6        A6       D3        6        1.67     178      0        38.0     49.02      31.00       0.693      0.254      0.48           2          194        0.04     1.40       1.94       3737.7     2947.3     1940.3     0.523     d3:1.52; c6:31.37; c3:1.51; c3:27.96; c2:0.22; c2:1.25; c2:1.37
210 T1132TS444_2o      444     CoDock               0.397    0.398    6        A6       D3        6        1.84     194      0        38.2     48.56      31.55       0.693      0.256      0.48           2          194        0.04     1.40       1.94       3191.9     2765.3     1576.5     0.529     d3:1.63; c6:31.05; c3:1.63; c3:27.65; c2:0.66; c2:1.12; c2:1.52
211 T1132TS494_4o      494     Venclovas            0.384    0.396    6        A6       D3        6        2.53     376      0        46.6     51.47      43.31       0.595      0.266      0.49           2          194        0.01     2.33       1.44       2462.6     1785.7     1826.7     0.504     d3:2.33; c6:28.39; c3:2.29; c3:21.20; c2:1.97; c2:0.60; c2:2.03; c2:16.56
212 T1132TS165_4o      165     FTBiot0119           0.367    0.368    6        A6       C1        6        0.00     377      2        31.3     32.32      30.49       0.527      0.185      0.51           2          194        0.10     3.22       3.40       4312.7     2905.7     2556.9     0.438     d3:23.22; c6:30.37; c3:21.82; c3:24.55; c2:19.58; c2:14.32; c2:17.16
213 T1132TS165_2o      165     FTBiot0119           0.344    0.345    6        A6       C1        6        0.00     400      3        31.0     32.08      30.22       0.513      0.183      0.51           2          194        0.10     3.22       3.40       4244.1     2759.5     2634.5     0.420     d3:18.54; c6:30.53; c3:16.61; c3:23.90; c2:10.37; c2:14.90; c2:16.86
214 T1132TS493_1o      493     Shen-CAPRI           0.330    0.335    6        A6       C3        6        4.97     162      0        22.4     37.26      16.03       0.694      0.146      0.33           2          194        0.17     2.36       2.36       6213.6     2899.5     3903.6     0.334     d3:19.50; c6:35.28; c3:3.95; c3:29.42; c2:19.29; c2:19.38; c2:19.21
215 T1132TS165_3o      165     FTBiot0119           0.284    0.304    6        A6       C1        6        0.00     544      11       29.5     31.23      28.62       0.504      0.176      0.49           2          194        0.11     3.08       3.43       1086.4     1394.9     841.4      0.392     d3:20.14; c6:29.87; c3:18.36; c3:24.82; c2:15.42; c2:15.80; c2:14.82
216 T1132TS493_4o      493     Shen-CAPRI           0.146    0.149    6        A6       C2        6        3.61     204      0        17.8     17.87      17.64       0.662      0.099      0.25           2          194        0.03     1.05       0.74       5438.0     2667.2     3393.0     0.414     d3:22.69; c6:33.58; c3:22.65; c3:32.77; c2:2.36; c2:19.01; c2:18.82
217 T1132TS493_3o      493     Shen-CAPRI           0.099    0.101    6        A6       C2        6        4.87     176      0        8.0      12.41      5.88        0.644      0.051      0.16           2          194        0.09     2.55       2.38       6051.9     2811.6     3823.3     0.272     d3:23.39; c6:34.21; c3:23.29; c3:33.43; c2:3.29; c2:19.85; c2:19.01
218 T1132TS234_1o      234     Panlab               0.044    0.045    6        A6       C3        6        0.00     180      3        4.0      5.39       3.19        0.480      0.038      0.25           1          97         0.00     1.55       10.80      4204.0     -984.4     6338.3     0.355     d3:12.17; c6:31.09; c3:0.00; c3:24.75; c2:12.17; c2:12.17; c2:12.17
219 T1132TS234_2o      234     Panlab               0.043    0.044    6        A6       C3        6        0.00     195      0        4.0      5.39       3.19        0.473      0.032      0.27           1          97         0.00     1.55       10.80      3859.0     -1088.1    6097.0     0.307     d3:11.47; c6:31.28; c3:0.00; c3:24.15; c2:11.47; c2:11.47; c2:11.47
220 T1132TS312_5o      312     Fernandez-Recio      0.042    0.042    6        A6       C2        6        0.36     280      0        0.6      0.53       0.53        0.685      0.023      0.46           1          97         0.00     0.38       9.43       3501.9     2231.6     2420.2     0.235     d3:28.03; c6:28.52; c3:27.99; c3:28.52; c2:0.18; c2:23.80; c2:23.86
221 T1132TS098_4o      098s    GuijunLab-Assembly   0.040    0.040    6        A6       C1        6        0.00     3580     291      7.7      6.32       19.51       0.058      0.092      0.21           1          97         0.00     0.56       3.41       -9935.8    -3819.1    -4966.8    0.311     d3:6.12; c6:20.60; c3:5.68; c3:18.14; c2:4.91; c2:4.50; c2:4.40
222 T1132TS312_4o      312     Fernandez-Recio      0.040    0.042    6        A6       C2        6        0.30     286      0        0.5      0.51       0.53        0.684      0.021      0.37           1          97         0.00     0.40       11.22      3675.8     2649.4     2176.3     0.285     d3:25.57; c6:36.17; c3:25.57; c3:29.55; c2:0.20; c2:20.14; c2:20.04
223 T1132TS494_5o      494     Venclovas            0.004    0.004    6        A6       C6        6        0.16     278      4        0.0      0.00       0.00        0.602      0.017      0.07           1          96         0.00     0.91       8.78       4530.9     2897.9     2782.9     0.228     d3:24.74; c6:0.15; c3:24.51; c3:0.14; c2:16.38; c2:13.09; c2:16.38; c2:0.13
224 T1132TS477_1o      477     DMP                  0.000    0.000    6        A6       D3        6        0.05     333      0        88.3     90.52      86.64       0.113      -          0.88           6          582        0.04     0.85       0.27       2340.1     1911.7     994.2      0.989     d3:0.04; c6:26.80; c3:0.04; c3:26.29; c2:0.03; c2:0.03; c2:0.04
